"compiled_studies","subjectID","group","optionA","optionB","quantityA","quantityB"
"housing","mouse6",2,"paperhouse","floorhouse",54.830281986532,45.169718013468
"housing","mouse6",2,"floorhouse","woodenangle_with_hole",64.5888047138047,35.4111952861953
"housing","mouse6",2,"paperhouse","woodenangle_with_hole",73.2572601010101,26.7427398989899
"housing","mouse6",2,"houseball","floorhouse",39.2806186868686,60.7193813131314
"housing","mouse6",2,"woodenangle","houseball",57.1629313973064,42.8370686026936
"housing","mouse6",2,"houseball","paperhouse",36.0628682659933,63.9371317340067
"structural","mouse7",2,"rope","mouseswing",58.0634995791246,41.9365004208754
"structural","mouse7",2,"clip_papertube","rope",49.9861637205388,50.0138362794612
"structural","mouse7",2,"mouseswing","clip_papertube",61.0245686026935,38.9754313973065
"structural","mouse7",2,"clip_papertube","second_plane",44.8147622053872,55.1852377946128
"structural","mouse7",2,"second_plane","rope",47.5130471380471,52.4869528619529
"structural","mouse7",2,"clip_plastictube","rope",45.0831228956229,54.9168771043771
"structural","mouse7",2,"clip_plastictube","second_plane",59.9338000334529,40.0661999665471
"structural","mouse7",2,"clip_plastictube","clip_papertube",47.8950968013468,52.1049031986532
"structural","mouse7",2,"clip_plastictube","mouseswing",51.5636574074074,48.4363425925926
"structural","mouse7",2,"second_plane","mouseswing",59.0962752525252,40.9037247474748
"foraging","mouse7",2,"treatball","latticeball",40.922821969697,59.077178030303
"foraging","mouse7",2,"tube_stones","flappuzzle",61.1665614478115,38.8334385521885
"foraging","mouse7",2,"flappuzzle","treatball",62.3925715488216,37.6074284511784
"foraging","mouse7",2,"tube_stones","latticeball",14.7617845117845,85.2382154882155
"foraging","mouse7",2,"tube_stones","slidingpuzzle",49.0006313131313,50.9993686868687
"foraging","mouse7",2,"tube_stones","treatball",80.5379313973064,19.4620686026935
"foraging","mouse7",2,"latticeball","slidingpuzzle",62.6596696127946,37.3403303872054
"foraging","mouse7",2,"treatball","slidingpuzzle",40.6014309764309,59.3985690235691
"foraging","mouse7",2,"flappuzzle","slidingpuzzle",68.2570496632997,31.7429503367003
"foraging","mouse7",2,"latticeball","flappuzzle",63.3924663299663,36.6075336700337
"housing","mouse7",2,"floorhouse","woodenangle",68.4520202020203,31.5479797979797
"housing","mouse7",2,"woodenangle_with_hole","houseball",51.2565761784511,48.7434238215489
"housing","mouse7",2,"woodenangle_with_hole","woodenangle",47.9097748316499,52.0902251683501
"housing","mouse7",2,"woodenangle","paperhouse",27.6948653198653,72.3051346801347
"housing","mouse7",2,"paperhouse","floorhouse",52.5074705387206,47.4925294612794
"housing","mouse7",2,"floorhouse","woodenangle_with_hole",46.5510837542087,53.4489162457913
"housing","mouse7",2,"paperhouse","woodenangle_with_hole",71.7134890572391,28.2865109427609
"housing","mouse7",2,"houseball","floorhouse",44.1839751683501,55.8160248316499
"housing","mouse7",2,"woodenangle","houseball",52.0810711279461,47.9189288720539
"housing","mouse7",2,"houseball","paperhouse",36.1626157407407,63.8373842592593
"structural","mouse8",2,"rope","mouseswing",49.1816603535353,50.8183396464647
"structural","mouse8",2,"clip_papertube","rope",48.6718223905724,51.3281776094276
"structural","mouse8",2,"mouseswing","clip_papertube",57.8229166666667,42.1770833333333
"structural","mouse8",2,"clip_papertube","second_plane",49.7223274410774,50.2776725589226
"structural","mouse8",2,"second_plane","rope",42.9039351851852,57.0960648148148
"structural","mouse8",2,"clip_plastictube","rope",45.5922243265994,54.4077756734006
"structural","mouse8",2,"clip_plastictube","second_plane",57.3555871212121,42.6444128787879
"structural","mouse8",2,"clip_plastictube","clip_papertube",47.9277261706898,52.0722738293102
"structural","mouse8",2,"clip_plastictube","mouseswing",58.8910458754209,41.1089541245791
"structural","mouse8",2,"second_plane","mouseswing",69.1911300505051,30.808869949495
"foraging","mouse8",2,"treatball","latticeball",38.3674242424242,61.6325757575758
"foraging","mouse8",2,"tube_stones","flappuzzle",50.7712542087542,49.2287457912458
"foraging","mouse8",2,"flappuzzle","treatball",65.2668876262626,34.7331123737373
"foraging","mouse8",2,"tube_stones","latticeball",15.6702441077441,84.3297558922559
"foraging","mouse8",2,"tube_stones","slidingpuzzle",49.3066603535353,50.6933396464647
"foraging","mouse8",2,"tube_stones","treatball",69.8024515993266,30.1975484006733
"foraging","mouse8",2,"latticeball","slidingpuzzle",69.3076599326599,30.69234006734
"foraging","mouse8",2,"treatball","slidingpuzzle",42.5386153198654,57.4613846801346
"foraging","mouse8",2,"flappuzzle","slidingpuzzle",73.3244423400673,26.6755576599327
"foraging","mouse8",2,"latticeball","flappuzzle",44.4074074074074,55.5925925925926
"housing","mouse8",2,"floorhouse","woodenangle",65.4433922558922,34.5566077441078
"housing","mouse8",2,"woodenangle_with_hole","houseball",50.8751052188553,49.1248947811447
"housing","mouse8",2,"woodenangle_with_hole","woodenangle",57.1507786195286,42.8492213804714
"housing","mouse8",2,"woodenangle","paperhouse",23.1135311447812,76.8864688552189
"housing","mouse8",2,"paperhouse","floorhouse",52.1545138888889,47.8454861111111
"housing","mouse8",2,"floorhouse","woodenangle_with_hole",50.8377525252526,49.1622474747475
"housing","mouse8",2,"paperhouse","woodenangle_with_hole",71.8176031144781,28.1823968855219
"housing","mouse8",2,"houseball","floorhouse",50.0115214646464,49.9884785353536
"housing","mouse8",2,"woodenangle","houseball",51.5486637205387,48.4513362794613
"housing","mouse8",2,"houseball","paperhouse",46.6671927609428,53.3328072390573
"structural","mouse9",3,"rope","mouseswing",44.6215277777778,55.3784722222222
"structural","mouse9",3,"clip_papertube","rope",51.0808606902357,48.9191393097643
"structural","mouse9",3,"mouseswing","clip_papertube",21.5511363636363,78.4488636363637
"structural","mouse9",3,"clip_papertube","second_plane",47.2988215488215,52.7011784511785
"structural","mouse9",3,"second_plane","rope",62.4847432659933,37.5152567340067
"structural","mouse9",3,"clip_plastictube","rope",45.3300715488216,54.6699284511784
"structural","mouse9",3,"clip_plastictube","second_plane",56.8764204545455,43.1235795454545
"structural","mouse9",3,"clip_plastictube","clip_papertube",78.102904040404,21.897095959596
"structural","mouse9",3,"clip_plastictube","mouseswing",64.1075862794613,35.8924137205387
"structural","mouse9",3,"second_plane","mouseswing",43.6907617845118,56.3092382154882
"foraging","mouse9",3,"treatball","latticeball",29.8295454545454,70.1704545454545
"foraging","mouse9",3,"tube_stones","flappuzzle",43.9611216329966,56.0388783670034
"foraging","mouse9",3,"flappuzzle","treatball",32.5813341750842,67.4186658249158
"foraging","mouse9",3,"tube_stones","latticeball",38.1096906565657,61.8903093434343
"foraging","mouse9",3,"tube_stones","slidingpuzzle",31.9414983164984,68.0585016835016
"foraging","mouse9",3,"tube_stones","treatball",47.2200126262627,52.7799873737373
"foraging","mouse9",3,"latticeball","slidingpuzzle",71.9308186026936,28.0691813973064
"foraging","mouse9",3,"treatball","slidingpuzzle",53.920928030303,46.079071969697
"foraging","mouse9",3,"flappuzzle","slidingpuzzle",59.5369318181818,40.4630681818182
"foraging","mouse9",3,"latticeball","flappuzzle",63.3544823232323,36.6455176767677
"housing","mouse9",3,"floorhouse","woodenangle",45.5328808922559,54.4671191077441
"housing","mouse9",3,"woodenangle_with_hole","houseball",56.745686026936,43.254313973064
"housing","mouse9",3,"woodenangle_with_hole","woodenangle",53.7445812289562,46.2554187710438
"housing","mouse9",3,"woodenangle","paperhouse",56.2623632154883,43.7376367845117
"housing","mouse9",3,"paperhouse","floorhouse",59.2073337542087,40.7926662457913
"housing","mouse9",3,"floorhouse","woodenangle_with_hole",30.1001157407407,69.8998842592593
"housing","mouse9",3,"paperhouse","woodenangle_with_hole",62.0980113636363,37.9019886363637
"housing","mouse9",3,"houseball","floorhouse",28.3046085858586,71.6953914141414
"housing","mouse9",3,"woodenangle","houseball",62.9010416666667,37.0989583333333
"housing","mouse9",3,"houseball","paperhouse",55.072864057239,44.927135942761
"structural","mouse10",3,"rope","mouseswing",43.2393202861953,56.7606797138047
"structural","mouse10",3,"clip_papertube","rope",47.5779671717172,52.4220328282828
"structural","mouse10",3,"mouseswing","clip_papertube",25.3018202861953,74.6981797138047
"structural","mouse10",3,"clip_papertube","second_plane",61.5040509259259,38.4959490740741
"structural","mouse10",3,"second_plane","rope",65.7545244107744,34.2454755892256
"structural","mouse10",3,"clip_plastictube","rope",49.6102693602693,50.3897306397307
"structural","mouse10",3,"clip_plastictube","second_plane",54.9421296296296,45.0578703703704
"structural","mouse10",3,"clip_plastictube","clip_papertube",69.4840067340067,30.5159932659933
"structural","mouse10",3,"clip_plastictube","mouseswing",67.7945601851852,32.2054398148148
"structural","mouse10",3,"second_plane","mouseswing",39.7317445286196,60.2682554713805
"foraging","mouse10",3,"treatball","latticeball",26.1434132996633,73.8565867003367
"foraging","mouse10",3,"tube_stones","flappuzzle",44.0301452020202,55.9698547979798
"foraging","mouse10",3,"flappuzzle","treatball",24.6649831649832,75.3350168350168
"foraging","mouse10",3,"tube_stones","latticeball",38.4750105218856,61.5249894781144
"foraging","mouse10",3,"tube_stones","slidingpuzzle",28.5012626262626,71.4987373737374
"foraging","mouse10",3,"tube_stones","treatball",46.9014625420876,53.0985374579124
"foraging","mouse10",3,"latticeball","slidingpuzzle",60.4158775252526,39.5841224747474
"foraging","mouse10",3,"treatball","slidingpuzzle",60.3408564814815,39.6591435185185
"foraging","mouse10",3,"flappuzzle","slidingpuzzle",65.6602483164984,34.3397516835016
"foraging","mouse10",3,"latticeball","flappuzzle",63.2732533670034,36.7267466329966
"housing","mouse10",3,"floorhouse","woodenangle",37.8887836700337,62.1112163299663
"housing","mouse10",3,"woodenangle_with_hole","houseball",58.9573863636364,41.0426136363636
"housing","mouse10",3,"woodenangle_with_hole","woodenangle",56.4251893939394,43.5748106060606
"housing","mouse10",3,"woodenangle","paperhouse",61.8059764309765,38.1940235690235
"housing","mouse10",3,"paperhouse","floorhouse",48.9423926767677,51.0576073232323
"housing","mouse10",3,"floorhouse","woodenangle_with_hole",49.4339225589225,50.5660774410775
"housing","mouse10",3,"paperhouse","woodenangle_with_hole",59.0128893097642,40.9871106902358
"housing","mouse10",3,"houseball","floorhouse",25.6213699494949,74.3786300505051
"housing","mouse10",3,"woodenangle","houseball",50.3992529461279,49.6007470538721
"housing","mouse10",3,"houseball","paperhouse",56.8495370370371,43.1504629629629
"structural","mouse11",3,"rope","mouseswing",43.8647411616162,56.1352588383838
"structural","mouse11",3,"clip_papertube","rope",50.8013468013468,49.1986531986532
"structural","mouse11",3,"mouseswing","clip_papertube",24.4164562289562,75.5835437710438
"structural","mouse11",3,"clip_papertube","second_plane",58.7668876262627,41.2331123737373
"structural","mouse11",3,"second_plane","rope",56.9855324074074,43.0144675925926
"structural","mouse11",3,"clip_plastictube","rope",43.0278303872054,56.9721696127946
"structural","mouse11",3,"clip_plastictube","second_plane",50.4489688552189,49.5510311447811
"structural","mouse11",3,"clip_plastictube","clip_papertube",63.7317445286195,36.2682554713805
"structural","mouse11",3,"clip_plastictube","mouseswing",77.5218329124579,22.4781670875421
"structural","mouse11",3,"second_plane","mouseswing",38.4813762626262,61.5186237373738
"foraging","mouse11",3,"treatball","latticeball",24.9207175925926,75.0792824074074
"foraging","mouse11",3,"tube_stones","flappuzzle",48.4295033670034,51.5704966329966
"foraging","mouse11",3,"flappuzzle","treatball",19.3163404882155,80.6836595117845
"foraging","mouse11",3,"tube_stones","latticeball",32.7159090909091,67.2840909090909
"foraging","mouse11",3,"tube_stones","slidingpuzzle",34.8091856060606,65.1908143939394
"foraging","mouse11",3,"tube_stones","treatball",46.3478009259259,53.6521990740741
"foraging","mouse11",3,"latticeball","slidingpuzzle",71.0379313973064,28.9620686026935
"foraging","mouse11",3,"treatball","slidingpuzzle",59.2645728114478,40.7354271885522
"foraging","mouse11",3,"flappuzzle","slidingpuzzle",66.5873842592593,33.4126157407407
"foraging","mouse11",3,"latticeball","flappuzzle",64.7948758417509,35.2051241582491
"housing","mouse11",3,"floorhouse","woodenangle",47.8871527777778,52.1128472222222
"housing","mouse11",3,"woodenangle_with_hole","houseball",46.1110585016835,53.8889414983165
"housing","mouse11",3,"woodenangle_with_hole","woodenangle",54.8082912457913,45.1917087542087
"housing","mouse11",3,"woodenangle","paperhouse",50.6680345117844,49.3319654882156
"housing","mouse11",3,"paperhouse","floorhouse",52.7584701178451,47.2415298821549
"housing","mouse11",3,"floorhouse","woodenangle_with_hole",46.0993792087542,53.9006207912458
"housing","mouse11",3,"paperhouse","woodenangle_with_hole",64.1204755892255,35.8795244107745
"housing","mouse11",3,"houseball","floorhouse",34.5928556397306,65.4071443602694
"housing","mouse11",3,"woodenangle","houseball",64.2846696127945,35.7153303872055
"housing","mouse11",3,"houseball","paperhouse",59.3580597643097,40.6419402356902
"structural","mouse12",3,"rope","mouseswing",45.5048400673401,54.4951599326599
"structural","mouse12",3,"clip_papertube","rope",47.3534301346801,52.6465698653199
"structural","mouse12",3,"mouseswing","clip_papertube",15.436553030303,84.563446969697
"structural","mouse12",3,"clip_papertube","second_plane",46.8930976430976,53.1069023569024
"structural","mouse12",3,"second_plane","rope",57.8237584175084,42.1762415824916
"structural","mouse12",3,"clip_plastictube","rope",51.1224221380471,48.8775778619529
"structural","mouse12",3,"clip_plastictube","second_plane",60.1898674242425,39.8101325757575
"structural","mouse12",3,"clip_plastictube","clip_papertube",75.1404145622895,24.8595854377105
"structural","mouse12",3,"clip_plastictube","mouseswing",68.1202125420876,31.8797874579124
"structural","mouse12",3,"second_plane","mouseswing",33.0536616161616,66.9463383838384
"foraging","mouse12",3,"treatball","latticeball",26.2128577441078,73.7871422558922
